id;name;address;city;country;phone;email;website;industry;created_at;updated_at
1;Ultex Holdings;120 Rue de Rivoli;Paris;France;+33 1 44 76 00 00;contact@ultex.com;https://www.ultex.com;Manufacturing;2024-03-15T10:00:00;2024-11-12T09:30:00
2;Global Freight Logistics;200 Bishopsgate;London;United Kingdom;+44 20 7946 0101;ops@globalfreight.com;https://www.globalfreight.com;Logistics & Transportation;2024-01-22T08:45:00;2024-11-10T16:05:00
3;Atlas Consulting Group;500 Market Street;San Francisco;United States;+1 415 555 1200;hello@atlasconsulting.com;https://www.atlasconsulting.com;Management Consulting;2024-02-10T14:20:00;2024-11-08T11:15:00
4;Lumiere Tech Solutions;42 Silicon Alley;Berlin;Germany;+49 30 8899 4400;support@lumiere-tech.de;https://www.lumiere-tech.de;Software & IT Services;2024-04-03T09:10:00;2024-11-05T13:50:00
5;Greenleaf Industries;15 Bay Street;Toronto;Canada;+1 416 555 2244;info@greenleafindustries.ca;https://www.greenleafindustries.ca;Sustainable Manufacturing;2024-05-18T07:30:00;2024-11-06T15:25:00
6;Blue Harbor Shipping;1 HarbourFront Avenue;Singapore;Singapore;+65 6800 2000;contact@blueharbor.com;https://www.blueharbor.com;Maritime Logistics;2024-06-12T12:05:00;2024-11-07T10:40:00
7;Andes Mining Corp;Av. Apoquindo 4501;Santiago;Chile;+56 2 2450 3300;admin@andesmining.cl;https://www.andesmining.cl;Mining & Metals;2024-02-28T11:00:00;2024-11-03T08:55:00
8;Crescent Retail Group;Downtown Boulevard;Dubai;United Arab Emirates;+971 4 555 7788;partners@crescentretail.ae;https://www.crescentretail.ae;Retail & E-commerce;2024-03-21T10:40:00;2024-11-04T17:00:00
9;Nordic Wind Energy;Kongens Nytorv 28;Copenhagen;Denmark;+45 33 11 22 33;projects@nordicwind.dk;https://www.nordicwind.dk;Renewable Energy;2024-05-01T06:55:00;2024-11-01T12:20:00
10;Savannah Agro Foods;Mombasa Road;Nairobi;Kenya;+254 20 555 1100;hello@savannahagro.co.ke;https://www.savannahagro.co.ke;Agriculture & Food;2024-04-15T09:25:00;2024-11-02T14:45:00
